"District","Member"
"Pennsylvania 15","Glenn Thompson"
"Pennsylvania 16","Mike Kelly"
"Pennsylvania 17","Conor Lamb"
"Pennsylvania 18","Mike Doyle"
"Rhode Island 1","David Cicilline"
"Rhode Island 2","James Langevin"
"South Carolina 1","Nancy Mace"
"South Carolina 2","Joe Wilson"
"South Carolina 3","Jeff Duncan"
"South Carolina 4","William Timmons"
"South Carolina 5","Ralph Norman"
"South Carolina 6","Jim Clyburn"
"South Carolina 7","Tom Rice"
"South Dakota at-large","Dusty Johnson"
"Tennessee 1","Diana Harshbarger"
"Tennessee 2","Tim Burchett"
"Tennessee 3","Chuck Fleischmann"
"Tennessee 4","Scott DesJarlais"
"Tennessee 5","Jim Cooper"
"Tennessee 6","John Rose"
"Tennessee 7","Mark E. Green"
"Tennessee 8","David Kustoff"
"Tennessee 9","Steve Cohen"
"Texas 1","Louie Gohmert"
"Texas 2","Dan Crenshaw"
"Texas 3","Van Taylor"
"Texas 4","Pat Fallon"
"Texas 5","Lance Gooden"
"Texas 6","Ron Wright"
"Texas 7","Lizzie Pannill Fletcher"
"Texas 8","Kevin Brady"
"Texas 9","Al Green"
"Texas 10","Michael McCaul"
"Texas 11","August Pfluger"
"Texas 12","Kay Granger"
"Texas 13","Ronny Jackson"
"Texas 14","Randy Weber"
"Texas 15","Vicente Gonzalez"
"Texas 16","Veronica Escobar"
"Texas 17","Pete Sessions"
"Texas 18","Sheila Jackson Lee"
"Texas 19","Jodey Arrington"
"Texas 20","Joaquin Castro"
"Texas 21","Chip Roy"
"Texas 22","Troy Nehls"
"Texas 23","Tony Gonzales"
"Texas 24","Beth Van Duyne"
"Texas 25","Roger Williams"
"Texas 26","Michael C. Burgess"
"Texas 27","Michael Cloud"
"Texas 28","Henry Cuellar"
"Texas 29","Sylvia Garcia"
"Texas 30","Eddie Bernice Johnson"
"Texas 31","John Carter"
"Texas 32","Colin Allred"
"Texas 33","Marc Veasey"
"Texas 34","Filemon Vela Jr."
"Texas 35","Lloyd Doggett"
"Texas 36","Brian Babin"
"Utah 1","Blake Moore"
"Utah 2","Chris Stewart"
"Utah 3","John Curtis"
"Utah 4","Burgess Owens"
"Vermont at-large","Peter Welch"
"Virginia 1","Rob Wittman"
"Virginia 2","Elaine Luria"
"Virginia 3","Bobby Scott"
"Virginia 4","Donald McEachin"
"Virginia 5","Bob Good"
"Virginia 6","Ben Cline"
"Virginia 7","Abigail Spanberger"
"Virginia 8","Don Beyer"
"Virginia 9","Morgan Griffith"
"Virginia 10","Jennifer Wexton"
"Virginia 11","Gerry Connolly"
"Washington 1","Suzan DelBene"
"Washington 2","Rick Larsen"
"Washington 3","Jaime Herrera Beutler"
"Washington 4","Dan Newhouse"
"Washington 5","Cathy McMorris Rodgers"
"Washington 6","Derek Kilmer"
"Washington 7","Pramila Jayapal"
"Washington 8","Kim Schrier"
"Washington 9","Adam Smith"
"Washington 10","Marilyn Strickland"
"West Virginia 1","David McKinley"
"West Virginia 2","Alex Mooney"
"West Virginia 3","Carol Miller"
"Wisconsin 1","Bryan Steil"
"Wisconsin 2","Mark Pocan"
"Wisconsin 3","Ron Kind"
"Wisconsin 4","Gwen Moore"
"Wisconsin 5","Scott Fitzgerald"
"Wisconsin 6","Glenn Grothman"
"Wisconsin 7","Tom Tiffany"
"Wisconsin 8","Mike Gallagher"
"Wyoming at-large","Liz Cheney"
